1460743411,fffe,MEKSSat,29.8,22.7,56.88183,22.4382
1460743411,fffe,MEKSSat,29.8,22.7,56.88183,22.4382
1460743436,fffe,MEKSSat,29.6,22.8,57.52455,22.46417
1460743436,fffe,MEKSSat,29.6,22.8,57.52455,22.46417
1460743457,fffe,MEKSSat,29.8,22.8,56.93746,22.49361
1460743457,fffe,MEKSSat,29.8,22.8,56.93746,22.49361
1460744085,fffe,MEKSSat,-1.0,-1.0,55.75372,22.56754
1460744085,fffe,MEKSSat,-1.0,-1.0,55.75372,22.56754
1460745775,fffe,MEKSSat,29.8,23.1,56.19716,22.64927
1460745796,fffe,MEKSSat,30.4,23.1,57.9831,22.68563
1460745817,fffe,MEKSSat,30.4,23.1,57.04384,22.70914
1460745838,fffe,MEKSSat,30.0,23.1,57.16895,22.73445
1460745859,fffe,MEKSSat,29.7,23.1,57.41806,22.75856
1460745880,fffe,MEKSSat,29.7,23.2,56.74616,22.7872
1460745901,fffe,MEKSSat,29.8,23.1,57.2486,22.80092
1460745921,fffe,MEKSSat,29.7,23.2,56.08218,22.81424
1460745944,fffe,MEKSSat,30.6,23.2,57.04426,22.83389
1460745965,fffe,MEKSSat,30.5,23.2,56.81038,22.84468
1460745986,fffe,MEKSSat,30.0,23.2,58.19012,22.8576
1460746007,fffe,MEKSSat,30.0,23.2,57.23514,22.87026
1460746027,fffe,MEKSSat,29.4,23.3,57.34236,22.88211
1460746048,fffe,MEKSSat,29.4,23.2,57.09559,22.89097
1460746068,fffe,MEKSSat,29.5,23.3,57.26825,22.9023
1460746089,fffe,MEKSSat,29.6,23.3,58.13532,22.89417
1460746110,fffe,MEKSSat,29.6,23.3,57.1268,22.89597
1460746130,fffe,MEKSSat,29.9,23.3,57.33008,22.90156
1460746151,fffe,MEKSSat,29.7,23.3,57.47056,22.91555
1460746171,fffe,MEKSSat,29.2,23.3,57.55353,22.93114
1460746269,fffe,MEKSSat,-1.0,-1.0,57.30734,22.97123
1460746290,fffe,MEKSSat,29.5,23.3,56.9763,22.97789
1460746310,fffe,MEKSSat,29.7,23.3,58.26212,22.97669
1460746331,fffe,MEKSSat,29.6,23.3,57.64718,22.96803
1460746351,fffe,MEKSSat,29.7,23.3,57.19247,22.98275
1460746377,fffe,MEKSSat,29.6,23.4,56.86607,22.98062
1460746397,fffe,MEKSSat,29.6,23.4,57.14523,22.98415
1460746420,fffe,MEKSSat,29.5,23.4,57.41861,22.98981
1460746440,fffe,MEKSSat,29.6,23.4,56.82864,22.94292
1460746461,fffe,MEKSSat,29.4,23.4,56.23341,22.91895
1460746488,fffe,MEKSSat,29.4,23.3,57.71505,22.89237
1460746509,fffe,MEKSSat,29.7,23.3,57.18016,22.89683
1460746529,fffe,MEKSSat,29.7,23.3,55.94119,22.91961
1460746550,fffe,MEKSSat,29.6,23.4,56.90544,22.91189
1460746571,fffe,MEKSSat,29.5,23.4,57.06915,22.9392
1460746597,fffe,MEKSSat,29.3,23.4,58.2163,22.95058
1460746618,fffe,MEKSSat,29.8,23.4,57.46128,22.91382
1460752006,fffe,MEKSSat,30.8,22.7,57.31617,22.32756
1460752026,fffe,MEKSSat,31.2,22.7,57.04396,22.3259
1460752052,fffe,MEKSSat,31.2,22.8,57.738,22.32876
1460752078,fffe,MEKSSat,31.0,22.8,56.88401,22.3247
1460817463,fffe,CanSolo,39.6,24.6,33.17144,0.0
1460817483,fffe,CanSolo,39.5,24.5,33.07431,0.0
1460817504,fffe,CanSolo,38.8,24.4,32.92206,0.0
1460817525,fffe,CanSolo,38.9,24.3,32.78629,0.0
1460817545,fffe,CanSolo,39.0,24.2,32.73295,0.0
1460817565,fffe,CanSolo,39.2,24.1,32.63712,0.0
1460817586,fffe,CanSolo,39.0,24.0,32.52386,0.0
1460817606,fffe,CanSolo,39.2,24.0,32.43305,0.0
1460817627,fffe,CanSolo,39.3,23.9,32.31903,0.0
1460817648,fffe,CanSolo,39.4,23.8,32.15573,0.0
1460817668,fffe,CanSolo,39.5,23.7,32.12237,0.0
1460817689,fffe,CanSolo,39.9,23.7,32.08215,0.0
1460817709,fffe,CanSolo,39.9,23.6,32.02648,0.0
1460817730,fffe,CanSolo,40.0,23.6,31.92303,0.0
1460817750,fffe,CanSolo,40.2,23.5,31.8837,0.0
1460817915,fffe,CanSolo,0.0,0.0,0.0,0.0
